# timestamp tx ty tz qx qy qz qw
78 0.370630 -0.047193 0.056242 0.066603 -0.071236 -0.052072 0.993870
79 0.375316 -0.047994 0.057197 0.067692 -0.072423 -0.052817 0.993671
80 0.379992 -0.048818 0.058179 0.068771 -0.073599 -0.053552 0.993472
81 0.384655 -0.049672 0.059197 0.069840 -0.074763 -0.054275 0.993271
82 0.389319 -0.050526 0.060214 0.070897 -0.075914 -0.054986 0.993070
83 0.393982 -0.051379 0.061231 0.071942 -0.077050 -0.055684 0.992868
84 0.398645 -0.052233 0.062248 0.072975 -0.078173 -0.056371 0.992666
85 0.403309 -0.053086 0.063266 0.073995 -0.079280 -0.057044 0.992464
86 0.407972 -0.053940 0.064283 0.075001 -0.080371 -0.057704 0.992263
87 0.412635 -0.054793 0.065300 0.075994 -0.081445 -0.058351 0.992062
88 0.417299 -0.055647 0.066318 0.076971 -0.082501 -0.058984 0.991862
89 0.421962 -0.056501 0.067335 0.077934 -0.083539 -0.059602 0.991663
90 0.426626 -0.057354 0.068352 0.078880 -0.084558 -0.060206 0.991465
91 0.431282 -0.058223 0.069387 0.079811 -0.085556 -0.060795 0.991269
92 0.435925 -0.059121 0.070458 0.080724 -0.086534 -0.061368 0.991075
93 0.440568 -0.060020 0.071528 0.081620 -0.087490 -0.061926 0.990883
94 0.445211 -0.060919 0.072600 0.082498 -0.088424 -0.062469 0.990693
95 0.449854 -0.061817 0.073671 0.083357 -0.089335 -0.062995 0.990506
96 0.454496 -0.062715 0.074741 0.084197 -0.090222 -0.063504 0.990322
97 0.459140 -0.063614 0.075812 0.085017 -0.091084 -0.063997 0.990142
98 0.463782 -0.064513 0.076883 0.085817 -0.091920 -0.064473 0.989964
99 0.468425 -0.065411 0.077954 0.086596 -0.092731 -0.064931 0.989791
100 0.473068 -0.066310 0.079025 0.087356 -0.093523 -0.065377 0.989620
101 0.477711 -0.067208 0.080096 0.088101 -0.094307 -0.065819 0.989450
102 0.482337 -0.068141 0.081208 0.088830 -0.095083 -0.066255 0.989282
103 0.486962 -0.069078 0.082324 0.089545 -0.095851 -0.066685 0.989114
104 0.491586 -0.070016 0.083441 0.090244 -0.096610 -0.067111 0.988948
105 0.496210 -0.070954 0.084559 0.090928 -0.097361 -0.067532 0.988783
106 0.500835 -0.071891 0.085676 0.091598 -0.098104 -0.067947 0.988620
107 0.505459 -0.072828 0.086793 0.092253 -0.098839 -0.068358 0.988457
108 0.510083 -0.073766 0.087911 0.092893 -0.099565 -0.068763 0.988296
109 0.514707 -0.074703 0.089028 0.093519 -0.100284 -0.069164 0.988136
110 0.519331 -0.075640 0.090145 0.094132 -0.100994 -0.069560 0.987978
111 0.523955 -0.076580 0.091264 0.094730 -0.101696 -0.069952 0.987821
112 0.528562 -0.077551 0.092422 0.095314 -0.102390 -0.070339 0.987666
113 0.533169 -0.078522 0.093579 0.095885 -0.103076 -0.070721 0.987512
114 0.537777 -0.079494 0.094737 0.096443 -0.103754 -0.071098 0.987359
115 0.542384 -0.080465 0.095894 0.096987 -0.104425 -0.071472 0.987209
116 0.546991 -0.081435 0.097051 0.097518 -0.105087 -0.071841 0.987059
117 0.551599 -0.082407 0.098208 0.098036 -0.105741 -0.072205 0.986911
118 0.556206 -0.083378 0.099366 0.098542 -0.106388 -0.072565 0.986765
119 0.560813 -0.084349 0.100523 0.099034 -0.107027 -0.072921 0.986620
120 0.565421 -0.085320 0.101681 0.099515 -0.107658 -0.073273 0.986477
121 0.570015 -0.086318 0.102869 0.099983 -0.108281 -0.073620 0.986336
122 0.574607 -0.087319 0.104062 0.100439 -0.108897 -0.073964 0.986196
123 0.579199 -0.088320 0.105255 0.100882 -0.109505 -0.074303 0.986058
124 0.583791 -0.089320 0.106448 0.101314 -0.110105 -0.074639 0.985922
125 0.588383 -0.090321 0.107641 0.101735 -0.110698 -0.074970 0.985787
126 0.592974 -0.091322 0.108833 0.102144 -0.111283 -0.075298 0.985654
127 0.597566 -0.092323 0.110026 0.102541 -0.111861 -0.075621 0.985522
128 0.602158 -0.093324 0.111219 0.102928 -0.112431 -0.075941 0.985392
129 0.606746 -0.094334 0.112422 0.103303 -0.112994 -0.076257 0.985264
130 0.611323 -0.095362 0.113648 0.103668 -0.113550 -0.076570 0.985138
131 0.615900 -0.096390 0.114873 0.104022 -0.114099 -0.076878 0.985013
132 0.620477 -0.097417 0.116097 0.104365 -0.114640 -0.077183 0.984890
133 0.625055 -0.098446 0.117323 0.104698 -0.115174 -0.077485 0.984769
134 0.629632 -0.099473 0.118548 0.105021 -0.115700 -0.077782 0.984649
135 0.634210 -0.100502 0.119773 0.105334 -0.116220 -0.078077 0.984531
136 0.638787 -0.101530 0.120998 0.105637 -0.116733 -0.078367 0.984415
137 0.643359 -0.102568 0.122235 0.105930 -0.117238 -0.078655 0.984300
138 0.647922 -0.103622 0.123492 0.106214 -0.117737 -0.078938 0.984188
139 0.652485 -0.104677 0.124749 0.106488 -0.118228 -0.079219 0.984077
140 0.657048 -0.105730 0.126005 0.106753 -0.118713 -0.079496 0.983967
141 0.661611 -0.106785 0.127261 0.107009 -0.119191 -0.079769 0.983859
142 0.666174 -0.107839 0.128518 0.107256 -0.119662 -0.080040 0.983753
143 0.670736 -0.108894 0.129775 0.107494 -0.120126 -0.080307 0.983649
144 0.675299 -0.109949 0.131032 0.107723 -0.120584 -0.080570 0.983546
145 0.679847 -0.111030 0.132320 0.107945 -0.121035 -0.080831 0.983445
146 0.684394 -0.112112 0.133609 0.108157 -0.121480 -0.081088 0.983346
147 0.688941 -0.113194 0.134899 0.108362 -0.121918 -0.081343 0.983248
148 0.693488 -0.114276 0.136189 0.108559 -0.122349 -0.081594 0.983152
149 0.698035 -0.115358 0.137478 0.108748 -0.122774 -0.081842 0.983058
150 0.702583 -0.116440 0.138768 0.108929 -0.123193 -0.082086 0.982965
151 0.707128 -0.117525 0.140061 0.109103 -0.123605 -0.082328 0.982874
152 0.711658 -0.118636 0.141385 0.109269 -0.124011 -0.082567 0.982784
153 0.716188 -0.119748 0.142710 0.109428 -0.124411 -0.082803 0.982696
154 0.720718 -0.120860 0.144035 0.109580 -0.124805 -0.083036 0.982609
155 0.725248 -0.121971 0.145360 0.109725 -0.125193 -0.083265 0.982524
156 0.729777 -0.123083 0.146685 0.109864 -0.125574 -0.083492 0.982441
157 0.734307 -0.124195 0.148010 0.109996 -0.125950 -0.083716 0.982359
158 0.738824 -0.125328 0.149360 0.110121 -0.126320 -0.083937 0.982279
159 0.743334 -0.126472 0.150723 0.110241 -0.126683 -0.084155 0.982200
160 0.747845 -0.127615 0.152086 0.110354 -0.127041 -0.084371 0.982122
161 0.752356 -0.128759 0.153449 0.110461 -0.127393 -0.084583 0.982046
162 0.756866 -0.129902 0.154811 0.110563 -0.127740 -0.084793 0.981972
163 0.761377 -0.131046 0.156174 0.110658 -0.128080 -0.085000 0.981899
164 0.765873 -0.132213 0.157565 0.110749 -0.128416 -0.085204 0.981827
165 0.770363 -0.133389 0.158967 0.110834 -0.128745 -0.085405 0.981757
166 0.774853 -0.134566 0.160370 0.110914 -0.129069 -0.085604 0.981688
167 0.779343 -0.135743 0.161772 0.110989 -0.129388 -0.085800 0.981620
168 0.783832 -0.136920 0.163175 0.111059 -0.129701 -0.085993 0.981554
169 0.788319 -0.138101 0.164583 0.111124 -0.130009 -0.086183 0.981489
170 0.792786 -0.139313 0.166027 0.111185 -0.130312 -0.086371 0.981426
171 0.797254 -0.140525 0.167472 0.111241 -0.130609 -0.086556 0.981364
172 0.801720 -0.141737 0.168916 0.111293 -0.130901 -0.086739 0.981303
173 0.806188 -0.142950 0.170361 0.111341 -0.131189 -0.086919 0.981243
174 0.810655 -0.144162 0.171805 0.111385 -0.131471 -0.087096 0.981185
175 0.815100 -0.145407 0.173289 0.111426 -0.131748 -0.087271 0.981127
176 0.819543 -0.146655 0.174776 0.111462 -0.132020 -0.087443 0.981071
177 0.823985 -0.147903 0.176264 0.111496 -0.132287 -0.087612 0.981016
178 0.828429 -0.149151 0.177751 0.111526 -0.132550 -0.087779 0.980962
179 0.832871 -0.150400 0.179240 0.111552 -0.132808 -0.087944 0.980910
180 0.837288 -0.151685 0.180772 0.111576 -0.133061 -0.088106 0.980858
181 0.841706 -0.152971 0.182303 0.111597 -0.133310 -0.088265 0.980808
182 0.846123 -0.154256 0.183835 0.111616 -0.133554 -0.088422 0.980758
183 0.850540 -0.155541 0.185366 0.111631 -0.133793 -0.088576 0.980710
184 0.854947 -0.156842 0.186917 0.111645 -0.134028 -0.088728 0.980663
185 0.859337 -0.158164 0.188492 0.111656 -0.134259 -0.088878 0.980616
186 0.863728 -0.159487 0.190069 0.111665 -0.134485 -0.089025 0.980571
187 0.868118 -0.160809 0.191644 0.111672 -0.134707 -0.089169 0.980526
188 0.872507 -0.162134 0.193224 0.111677 -0.134925 -0.089311 0.980483
189 0.876871 -0.163494 0.194844 0.111681 -0.135138 -0.089451 0.980440
190 0.881234 -0.164853 0.196464 0.111683 -0.135348 -0.089588 0.980399
191 0.885597 -0.166212 0.198083 0.111684 -0.135553 -0.089723 0.980358
192 0.889960 -0.167571 0.199703 0.111684 -0.135755 -0.089856 0.980318
193 0.894298 -0.168965 0.201364 0.111683 -0.135953 -0.089986 0.980279
194 0.898633 -0.170360 0.203027 0.111681 -0.136146 -0.090114 0.980240
195 0.902969 -0.171755 0.204690 0.111678 -0.136336 -0.090239 0.980203
196 0.907304 -0.173152 0.206354 0.111675 -0.136523 -0.090363 0.980166
197 0.911613 -0.174581 0.208058 0.111671 -0.136705 -0.090483 0.980130
198 0.915922 -0.176010 0.209760 0.111668 -0.136884 -0.090602 0.980094
199 0.920231 -0.177439 0.211464 0.111664 -0.137060 -0.090718 0.980059
200 0.924531 -0.178879 0.213179 0.111656 -0.137232 -0.090832 0.980025
201 0.928814 -0.180340 0.214920 0.111643 -0.137399 -0.090945 0.979993
202 0.933097 -0.181800 0.216661 0.111622 -0.137563 -0.091057 0.979962
203 0.937381 -0.183261 0.218402 0.111596 -0.137723 -0.091167 0.979932
204 0.941646 -0.184743 0.220169 0.111563 -0.137878 -0.091276 0.979904
205 0.945905 -0.186234 0.221944 0.111523 -0.138030 -0.091384 0.979877
206 0.950164 -0.187723 0.223720 0.111478 -0.138178 -0.091491 0.979851
207 0.954416 -0.189220 0.225504 0.111426 -0.138323 -0.091596 0.979827
208 0.958653 -0.190735 0.227310 0.111367 -0.138464 -0.091701 0.979804
209 0.962891 -0.192251 0.229115 0.111303 -0.138601 -0.091804 0.979782
210 0.967128 -0.193766 0.230921 0.111232 -0.138734 -0.091906 0.979762
211 0.971345 -0.195303 0.232754 0.111156 -0.138864 -0.092007 0.979743
212 0.975562 -0.196842 0.234588 0.111073 -0.138990 -0.092107 0.979725
213 0.979779 -0.198380 0.236421 0.110985 -0.139113 -0.092206 0.979708
214 0.983980 -0.199936 0.238277 0.110890 -0.139233 -0.092304 0.979693
215 0.988177 -0.201496 0.240138 0.110789 -0.139349 -0.092401 0.979678
216 0.992373 -0.203057 0.241999 0.110683 -0.139462 -0.092497 0.979665
217 0.996555 -0.204632 0.243879 0.110571 -0.139571 -0.092592 0.979653
218 1.000730 -0.206216 0.245770 0.110453 -0.139678 -0.092686 0.979643
219 1.004904 -0.207800 0.247661 0.110329 -0.139781 -0.092780 0.979633
220 1.009064 -0.209399 0.249573 0.110200 -0.139881 -0.092872 0.979624
221 1.013212 -0.211009 0.251498 0.110065 -0.139978 -0.092964 0.979617
222 1.017361 -0.212618 0.253424 0.109925 -0.140072 -0.093055 0.979611
223 1.021491 -0.214246 0.255374 0.109779 -0.140163 -0.093145 0.979606
224 1.025608 -0.215886 0.257341 0.109627 -0.140251 -0.093234 0.979601
225 1.029725 -0.217527 0.259309 0.109470 -0.140337 -0.093323 0.979598
226 1.033818 -0.219189 0.261307 0.109308 -0.140419 -0.093411 0.979596
227 1.037894 -0.220868 0.263327 0.109140 -0.140499 -0.093498 0.979595
228 1.041970 -0.222546 0.265347 0.108967 -0.140576 -0.093585 0.979595
229 1.046013 -0.224253 0.267407 0.108788 -0.140650 -0.093671 0.979596
230 1.050038 -0.225976 0.269491 0.108605 -0.140722 -0.093756 0.979598
231 1.054063 -0.227699 0.271575 0.108416 -0.140791 -0.093841 0.979601
232 1.058041 -0.229461 0.273714 0.108222 -0.140858 -0.093926 0.979605
233 1.062000 -0.231239 0.275876 0.108023 -0.140922 -0.094010 0.979609
234 1.065960 -0.233017 0.278037 0.107819 -0.140984 -0.094093 0.979615
235 1.069855 -0.234846 0.280271 0.107609 -0.141043 -0.094176 0.979621
236 1.073733 -0.236688 0.282525 0.107395 -0.141101 -0.094258 0.979629
237 1.077610 -0.238531 0.284780 0.107176 -0.141156 -0.094340 0.979637
238 1.081402 -0.240436 0.287124 0.106952 -0.141208 -0.094422 0.979646
239 1.085177 -0.242354 0.289487 0.106724 -0.141259 -0.094503 0.979656
240 1.088952 -0.244272 0.291849 0.106490 -0.141307 -0.094584 0.979666
241 1.092621 -0.246261 0.294315 0.106252 -0.141354 -0.094664 0.979678
242 1.096271 -0.248264 0.296801 0.106009 -0.141398 -0.094744 0.979690
243 1.099921 -0.250267 0.299286 0.105761 -0.141441 -0.094824 0.979703
244 1.103448 -0.252346 0.301882 0.105509 -0.141481 -0.094904 0.979716
245 1.106948 -0.254442 0.304503 0.105252 -0.141520 -0.094983 0.979731
246 1.110448 -0.256538 0.307124 0.104991 -0.141557 -0.095063 0.979746
247 1.113820 -0.258706 0.309849 0.104725 -0.141592 -0.095142 0.979761
248 1.117146 -0.260900 0.312613 0.104455 -0.141625 -0.095221 0.979778
249 1.120471 -0.263094 0.315377 0.104180 -0.141657 -0.095299 0.979795
250 1.123687 -0.265343 0.318222 0.103901 -0.141687 -0.095378 0.979812
251 1.126817 -0.267635 0.321129 0.103618 -0.141716 -0.095457 0.979831
252 1.129948 -0.269928 0.324037 0.103330 -0.141743 -0.095535 0.979849
253 1.133020 -0.272246 0.326984 0.103039 -0.141769 -0.095614 0.979869
254 1.135942 -0.274633 0.330030 0.102743 -0.141793 -0.095692 0.979889
255 1.138864 -0.277019 0.333075 0.102443 -0.141816 -0.095770 0.979909
256 1.141786 -0.279405 0.336121 0.102139 -0.141837 -0.095849 0.979930
257 1.144519 -0.281868 0.339279 0.101830 -0.141858 -0.095927 0.979951
258 1.147226 -0.284341 0.342451 0.101518 -0.141877 -0.096006 0.979973
259 1.149933 -0.286814 0.345625 0.101202 -0.141895 -0.096085 0.979996
260 1.152567 -0.289313 0.348836 0.100882 -0.141912 -0.096164 0.980019
261 1.155059 -0.291863 0.352122 0.100558 -0.141928 -0.096243 0.980042
262 1.157550 -0.294413 0.355409 0.100231 -0.141943 -0.096322 0.980065
263 1.160041 -0.296963 0.358695 0.099899 -0.141956 -0.096401 0.980089
264 1.162395 -0.299557 0.362046 0.099564 -0.141969 -0.096481 0.980114
265 1.164675 -0.302175 0.365431 0.099225 -0.141982 -0.096561 0.980139
266 1.166955 -0.304793 0.368816 0.098883 -0.141993 -0.096641 0.980164
267 1.169234 -0.307411 0.372202 0.098537 -0.142004 -0.096721 0.980189
268 1.171351 -0.310075 0.375654 0.098187 -0.142014 -0.096802 0.980215
269 1.173427 -0.312752 0.379125 0.097834 -0.142023 -0.096883 0.980241
270 1.175502 -0.315428 0.382594 0.097477 -0.142031 -0.096964 0.980267
271 1.177578 -0.318104 0.386064 0.097117 -0.142040 -0.097046 0.980293
272 1.179504 -0.320819 0.389589 0.096754 -0.142047 -0.097128 0.980320
273 1.181384 -0.323546 0.393130 0.096387 -0.142054 -0.097211 0.980347
274 1.183266 -0.326272 0.396671 0.096017 -0.142061 -0.097294 0.980374
275 1.185147 -0.328999 0.400211 0.095644 -0.142068 -0.097378 0.980401
276 1.186923 -0.331750 0.403786 0.095268 -0.142074 -0.097462 0.980429
277 1.188621 -0.334519 0.407386 0.094888 -0.142079 -0.097547 0.980456
278 1.190319 -0.337289 0.410985 0.094505 -0.142085 -0.097632 0.980484
279 1.192016 -0.340058 0.414585 0.094120 -0.142091 -0.097718 0.980512
280 1.193679 -0.342835 0.418195 0.093731 -0.142096 -0.097805 0.980539
281 1.195205 -0.345641 0.421843 0.093339 -0.142101 -0.097892 0.980567
282 1.196731 -0.348447 0.425491 0.092945 -0.142107 -0.097980 0.980595
283 1.198257 -0.351254 0.429138 0.092547 -0.142112 -0.098068 0.980623
284 1.199783 -0.354060 0.432786 0.092147 -0.142118 -0.098157 0.980651
285 1.201201 -0.356888 0.436460 0.091744 -0.142123 -0.098247 0.980679
286 1.202566 -0.359726 0.440147 0.091338 -0.142129 -0.098338 0.980707
287 1.203931 -0.362564 0.443834 0.090929 -0.142135 -0.098430 0.980735
288 1.205296 -0.365402 0.447520 0.090518 -0.142141 -0.098522 0.980763
289 1.206661 -0.368240 0.451207 0.090104 -0.142148 -0.098615 0.980791
290 1.207877 -0.371107 0.454924 0.089688 -0.142155 -0.098710 0.980818
291 1.209092 -0.373973 0.458642 0.089269 -0.142163 -0.098805 0.980846
292 1.210307 -0.376839 0.462359 0.088847 -0.142171 -0.098901 0.980873
293 1.211522 -0.379705 0.466076 0.088423 -0.142179 -0.098997 0.980901
294 1.212712 -0.382576 0.469798 0.087997 -0.142188 -0.099095 0.980928
295 1.213786 -0.385468 0.473539 0.087569 -0.142198 -0.099194 0.980955
296 1.214859 -0.388359 0.477280 0.087138 -0.142208 -0.099294 0.980981
297 1.215933 -0.391251 0.481022 0.086705 -0.142220 -0.099395 0.981008
298 1.217007 -0.394142 0.484763 0.086269 -0.142231 -0.099497 0.981034
299 1.218048 -0.397039 0.488508 0.085832 -0.142244 -0.099600 0.981060
300 1.218988 -0.399954 0.492267 0.085392 -0.142258 -0.099705 0.981086
301 1.219929 -0.402869 0.496026 0.084950 -0.142272 -0.099810 0.981112
302 1.220869 -0.405783 0.499785 0.084507 -0.142288 -0.099917 0.981137
303 1.221810 -0.408698 0.503544 0.084061 -0.142304 -0.100025 0.981162
304 1.222722 -0.411618 0.507307 0.083614 -0.142322 -0.100134 0.981186
305 1.223536 -0.414554 0.511079 0.083165 -0.142340 -0.100244 0.981211
306 1.224350 -0.417490 0.514851 0.082714 -0.142359 -0.100355 0.981235
307 1.225164 -0.420426 0.518622 0.082261 -0.142379 -0.100467 0.981258
308 1.225977 -0.423362 0.522394 0.081807 -0.142401 -0.100581 0.981281
309 1.226775 -0.426301 0.526167 0.081352 -0.142423 -0.100696 0.981304
310 1.227467 -0.429257 0.529948 0.080894 -0.142447 -0.100811 0.981327
311 1.228160 -0.432213 0.533729 0.080436 -0.142471 -0.100928 0.981349
312 1.228853 -0.435168 0.537509 0.079976 -0.142497 -0.101047 0.981370
313 1.229546 -0.438125 0.541290 0.079515 -0.142524 -0.101166 0.981392
314 1.230238 -0.441081 0.545071 0.079053 -0.142552 -0.101287 0.981412
315 1.230815 -0.444055 0.548856 0.078590 -0.142581 -0.101408 0.981433
316 1.231391 -0.447029 0.552642 0.078126 -0.142612 -0.101531 0.981453
317 1.231968 -0.450004 0.556427 0.077661 -0.142643 -0.101655 0.981472
318 1.232545 -0.452978 0.560213 0.077195 -0.142676 -0.101781 0.981491
319 1.233122 -0.455952 0.563999 0.076728 -0.142710 -0.101907 0.981510
320 1.233604 -0.458941 0.567786 0.076260 -0.142746 -0.102035 0.981528
321 1.234069 -0.461932 0.571573 0.075792 -0.142782 -0.102164 0.981545
322 1.234533 -0.464924 0.575361 0.075323 -0.142820 -0.102294 0.981562
323 1.234999 -0.467915 0.579148 0.074854 -0.142860 -0.102425 0.981579
324 1.235463 -0.470907 0.582936 0.074384 -0.142901 -0.102558 0.981595
325 1.235856 -0.473909 0.586723 0.073914 -0.142943 -0.102691 0.981610
326 1.236213 -0.476917 0.590510 0.073443 -0.142986 -0.102826 0.981625
327 1.236571 -0.479924 0.594296 0.072972 -0.143031 -0.102963 0.981639
328 1.236928 -0.482931 0.598083 0.072501 -0.143078 -0.103100 0.981653
329 1.237286 -0.485939 0.601870 0.072030 -0.143126 -0.103239 0.981666
330 1.237591 -0.488953 0.605654 0.071558 -0.143175 -0.103378 0.981679
331 1.237845 -0.491975 0.609438 0.071087 -0.143226 -0.103519 0.981691
332 1.238100 -0.494997 0.613221 0.070616 -0.143278 -0.103662 0.981702
333 1.238354 -0.498019 0.617005 0.070145 -0.143332 -0.103805 0.981713
334 1.238609 -0.501041 0.620788 0.069674 -0.143388 -0.103950 0.981723
335 1.238827 -0.504068 0.624569 0.069203 -0.143445 -0.104096 0.981732
336 1.238983 -0.507103 0.628347 0.068733 -0.143504 -0.104243 0.981741
337 1.239139 -0.510138 0.632125 0.068263 -0.143564 -0.104392 0.981749
338 1.239295 -0.513173 0.635903 0.067794 -0.143626 -0.104541 0.981757
339 1.239451 -0.516209 0.639682 0.067325 -0.143690 -0.104692 0.981764
340 1.239583 -0.519247 0.643458 0.066857 -0.143755 -0.104845 0.981770
341 1.239646 -0.522294 0.647229 0.066389 -0.143822 -0.104998 0.981775
342 1.239708 -0.525341 0.651000 0.065923 -0.143891 -0.105153 0.981780
343 1.239771 -0.528389 0.654771 0.065457 -0.143962 -0.105309 0.981784
344 1.239834 -0.531436 0.658542 0.064992 -0.144034 -0.105466 0.981788
345 1.239880 -0.534485 0.662312 0.064528 -0.144108 -0.105625 0.981790
346 1.239855 -0.537543 0.666075 0.064065 -0.144185 -0.105785 0.981792
347 1.239830 -0.540601 0.669838 0.063603 -0.144262 -0.105946 0.981794
348 1.239805 -0.543658 0.673600 0.063142 -0.144342 -0.106108 0.981794
